count,nr_referencyjny
46833,4BC8C532
10637,5E4EF1B4
3380,F479FC2F
2908,DBB121C8
2227,A3F7D6EB
996,01B7C90B
977,357E1541
621,423236C9
238,1F32AA4C
187,74BE1697
175,88145EB6
159,3E2266EC
159,EC6A6536
127,D9B1D7DB
119,6C60D471
112,897C8FDE
103,14E1B600
96,FB469D7E
93,9DC94883
82,51806FB2
81,D7F973BB
79,D8E66F83
79,331C8EE2
78,614E2E52
78,F2B519C9
77,B2C9F012
77,0DCCD2DD
76,C12F5875
75,D502C089
75,F65EDAE2
75,7D2E885D
74,67C78557
74,82EAEDBF
74,9F1CE19F
74,8BBA82F0
74,1BD7E148
74,7F08A895
73,4903D1C9
73,03B4D3F5
73,6605DF0E
73,2BCDB110
73,4B4525F2
73,A4B8FCA0
72,634E6F0D
72,23BFF9F8
72,333C4D4D
72,9285D748
72,02A41B60
72,39BD7897
72,D5585A20
72,62B45373
72,88BE3BAC
72,C51E80FC
71,48F394F4
71,F767E3CD
71,E6A71F05
71,4C7C56A7
71,0864DBC9
71,2AA73F86
71,8D34E601
71,7646C648
71,F99DE801
71,9D98BEB1
71,08661EDD
71,D7844841
70,B4EF003F
70,D8D02DCF
70,3AA71AD2
70,56C88B97
70,5386A234
70,F966C4B9
70,83648B2C
70,7197FBEA
70,D35D32A3
70,8155C218
70,70783D01
70,114474DA
70,DD2708EE
70,78A27F0D
69,26C8AB53
69,068BABDC
69,31515E5E
69,C30E1B82
69,9658CE0A
69,93B62BEB
69,D5221C8A
69,5F62F71A
69,2EA97D06
69,CA2F8738
69,75F6687B
69,DA5672CD
69,083B0441
69,7620ACA0
69,E83C22F6
69,5762299B
69,030C2E7A
69,0BD57596
69,5E382DB9
68,5FCC85AE
68,5B40423B
68,0F54776C
68,CB285968
68,072E49BA
68,75ECB7FD
68,AFB3418D
68,AA3AAC73
68,7452186C
68,BB2A8365
68,7815A6A2
68,81CA8440
68,63574293
67,C21A4BD8
67,0C492336
67,FB75F63A
67,07F150C7
67,6155533F
67,AE5D5785
67,B10E0089
67,383584DF
67,335689D0
67,0A2597E7
67,2AA538FA
67,2DC013D1
67,C58B62B5
67,8AD9E55C
67,73AA12F2
66,6DFA7964
66,2B93E07B
66,53A38A95
66,2406F7A2
66,BA977427
66,2AC56DC4
66,7B3D9BA4
66,F251282B
66,D1FDC999
66,8ABB658C
66,6BA09C36
66,31B85587
66,6D3BAB95
66,8A5B7E91
66,9DD6D1A0
66,6633D83D
66,10B3910F
66,0C6F7237
66,6C2A77E1
66,F4F763D8
66,F1B16D35
65,E409DC98
65,CE2B0BB2
65,91CEF3A6
65,4FCC55E7
65,99E3C749
65,0E8E4549
65,E3B0967F
65,F4A005BA
65,159B226F
65,B19C1F65
65,B62101D8
65,2A5B3B2F
65,4E36BF09
65,6BFED684
65,8FD2DDB0
65,558681E1
65,68DD87F2
65,F39EC69F
65,4572A873
65,28845AB6
65,1EF820A0
65,A793F0C9
65,021458BA
65,406E5992
65,77EB35AA
64,43B6A7DE
64,3C1FE64D
64,99C716F0
64,51771050
64,90353602
64,DF0227F0
64,17BF4610
64,4AE2E6A0
64,D44087F2
64,59600DDC
64,8C8939BA
64,AD647595
64,C6AA48BD
64,10666143
64,4148EDC5
64,D139021A
64,79231527
64,44D25031
64,9BFBA7AD
64,BF469B49
64,B9BF9D3C
64,E4F88377
64,48BB6051
64,CC44CE20
64,49B21D43
64,71419ED0
64,42A724A5
64,8CE627CF
64,D5FDF46B
63,9B8DA43E
63,2E426427
63,F74A42CE
63,F0FDD856
63,C98806F2
63,13B27C54
63,32185E58
63,00E95501
63,CF486D94
63,5A4F3D9B
63,B669ADC7
63,395774C5
63,672A7235
63,32824A94
63,CDD382D2
63,B09D8BD3
63,CF29A526
63,C677E028
63,35E3FB96
63,6AACF337
63,A7688857
63,9389922A
63,9D647992
63,B04DDBD7
63,2ED11D00
63,9DD0669C
63,F06EE31F
63,FA750143
63,17F0479F
63,81BD8B06
63,DA0E3D1E
63,E78278F8
62,C0DF4128
62,6350AC53
62,EC0A2707
62,715CC1B4
62,04A3498B
62,5FCFE802
62,2C08F7CE
62,4980EE3A
62,B6278D12
62,4C35DE94
62,CECF151A
62,4C15F9B8
62,904439E1
62,9135F333
62,4BC98F88
62,54CAA1E3
62,471358F2
62,AE6B3668
62,7EBDA40D
62,58FF6328
62,06E8CE73
62,600D3628
62,A5F2F535
62,48977AEA
62,4C6973B9
62,F538147C
62,FCEBE0B2
62,59CAFC63
62,7CFBFB26
62,F7D3B763
62,4143C2C3
62,52C30C50
62,32819344
62,E630968B
62,D5065FC5
62,FA64515D
62,E8F58A8F
62,E135DDC7
62,C48F83C5
62,7A305EB3
62,3160177F
61,863843D1
61,1548C6E9
61,BEAA7E2C
61,EDDD6560
61,BA0F0468
61,73804303
61,8E57E9AB
61,6A6B2E68
61,E2379E1F
61,B17498B8
61,B06A214A
61,BE8FDEAF
61,C2226FBA
61,34CD99DB
61,55579B66
61,36C98812
61,8717F0E7
61,83F4DF1B
61,27D7D628
61,589EB763
61,A6578A81
61,8C464B1D
61,09A94275
61,D3747067
61,DF1B1166
61,8E099150
61,E1EC8C91
61,5300FBEA
61,89974184
61,00E477C8
61,84CA347E
61,0AD1FDD6
61,3E4875FF
61,5BE0747A
61,FED09F68
61,A34D9AAC
61,9A289F99
61,D37D7ECA
61,2F33B72B
61,A8FA3638
61,B0E31515
61,77699333
61,D976EB74
61,380A45BF
61,3CC3E881
61,93E04600
61,4A7290A3
60,CE1F4D86
60,A9B0A980
60,6B73D3DA
60,6BC7061C
60,435E05FF
60,D604F939
60,4AE379DC
60,2C87C929
60,79306969
60,1D6EA061
60,964F1093
60,9B6FB6FC
60,21E86F6F
60,6F46B8C8
60,79CA9826
60,1546FF3D
